lat,lng,gps_time_ms,altitude,speed,horizontal_accuracy,vertical_accuracy,driver_status,battery_level,type
46.174017,6.128603,1449366741589,453.0,0.0,3.0,3.0,open,0.51,impression
46.1740158,6.1286017,1449366744580,453.0,0.0,3.9,3.9,open,0.51,impression
46.1740158,6.1286017,1449366744580,453.0,0.0,3.9,3.9,open,0.51,tap
46.1740156,6.1285912,1449366746582,454.0,0.51244515,4.0,4.0,open,0.51,tap
46.1740272,6.1285717,1449366748600,453.0,0.6,3.9,3.9,open,0.51,impression
46.1740272,6.1285717,1449366748600,453.0,0.6,3.9,3.9,open,0.51,tap
46.172591,6.125909,1449366795628,454.0,0.0,3.0,3.0,open,0.52,lifecycle
46.1730695,6.1235636,1449366839052,0.0,0.0,214.793,214.793,open,0.52,lifecycle
46.1730695,6.1235636,1449366839052,0.0,0.0,214.793,214.793,open,0.52,impression
46.1816887,6.1210284,1449366898620,453.0,0.61131006,3.0,3.0,open,0.52,impression
46.1816994,6.1210484,1449366908606,453.0,0.0,4.0,4.0,open,0.53,tap
46.1816994,6.1210484,1449366908606,453.0,0.0,4.0,4.0,open,0.53,impression
46.1845898,6.122201,1449366953605,454.0,12.1637,4.0,4.0,open,0.53,tap
46.1845898,6.122201,1449366953605,454.0,12.1637,4.0,4.0,open,0.53,impression
46.1848659,6.1224462,1449366956599,454.0,11.660725,3.0,3.0,open,0.53,impression
46.1874381,6.1241401,1449367016585,436.0,2.6404736,4.0,4.0,open,0.54,impression
46.188325,6.1297977,1449367067607,436.0,12.280688,4.0,4.0,accepted,0.54,impression
46.188505,6.1301565,1449367070593,435.0,11.310747,3.0,3.0,accepted,0.54,impression
46.188505,6.1301565,1449367070593,435.0,11.310747,3.0,3.0,accepted,0.54,tap
46.1886569,6.1305035,1449367073580,433.0,11.05029,4.0,4.0,accepted,0.54,impression
46.1886569,6.1305035,1449367073580,433.0,11.05029,4.0,4.0,accepted,0.55,tap
46.1886569,6.1305035,1449367073580,433.0,11.05029,4.0,4.0,accepted,0.55,impression
46.1887604,6.1307347,1449367075582,433.0,10.462753,4.0,4.0,accepted,0.55,lifecycle
46.1887604,6.1307347,1449367075582,433.0,10.462753,4.0,4.0,accepted,0.55,impression
46.1911434,6.1363738,1449367127615,435.0,8.411165,4.0,4.0,accepted,0.55,tap
46.1911434,6.1363738,1449367127615,435.0,8.411165,4.0,4.0,accepted,0.55,lifecycle
46.1911434,6.1363738,1449367127615,435.0,8.411165,4.0,4.0,accepted,0.55,impression
46.1909608,6.1365698,1449367130590,435.0,8.169314,4.0,4.0,accepted,0.55,impression
46.1908315,6.1366963,1449367132594,436.0,8.337775,4.0,4.0,accepted,0.55,tap
46.1908315,6.1366963,1449367132594,436.0,8.337775,4.0,4.0,accepted,0.55,impression
46.1905871,6.1369302,1449367136622,434.0,6.523258,4.0,4.0,accepted,0.55,lifecycle
46.1905871,6.1369302,1449367136622,434.0,6.523258,4.0,4.0,accepted,0.55,impression
46.1902195,6.1378633,1449367167585,435.0,0.8372574,4.0,4.0,accepted,0.55,tap
46.1902195,6.1378633,1449367167585,435.0,0.8372574,4.0,4.0,accepted,0.55,lifecycle
46.1902195,6.1378633,1449367167585,435.0,0.8372574,4.0,4.0,arrived,0.55,impression
46.1902282,6.1378882,1449367170592,435.0,0.40607882,4.0,4.0,arrived,0.55,impression
46.1902441,6.1382653,1449367198604,431.0,0.5772348,4.0,4.0,arrived,0.55,tap
46.1902441,6.1382653,1449367198604,431.0,0.5772348,4.0,4.0,on_trip,0.55,impression
46.1902371,6.1382542,1449367207578,432.0,0.0,4.0,4.0,on_trip,0.6,tap
46.1902371,6.1382542,1449367207578,432.0,0.0,4.0,4.0,on_trip,0.6,impression
46.1902371,6.1382542,1449367207578,432.0,0.0,4.0,4.0,on_trip,0.6,lifecycle
46.1896696,6.153399,1449367736601,476.0,5.1633034,4.0,4.0,on_trip,0.6,tap
46.1896696,6.153399,1449367736601,476.0,5.1633034,4.0,4.0,on_trip,0.6,lifecycle
46.189696,6.1532807,1449367739581,475.0,2.189155,4.0,4.0,on_trip,0.6,impression
46.1896902,6.1532653,1449367741580,474.0,0.17029387,3.9,3.9,on_trip,0.6,impression
46.1897668,6.1528902,1449367759614,474.0,0.0,3.9,3.9,open,0.61,tap
46.1897668,6.1528902,1449367759614,474.0,0.0,3.9,3.9,open,0.61,impression
46.1897707,6.1528905,1449367762587,475.0,0.0,3.0,3.0,open,0.61,tap
46.1897707,6.1528905,1449367762587,475.0,0.0,3.0,3.0,open,0.61,impression
46.1897671,6.1528952,1449367765577,475.0,0.0,3.9,3.9,open,0.61,impression
46.1928601,6.1531936,1449367825600,467.0,8.475736,3.9,3.9,open,0.61,impression
46.1948605,6.14912,1449367883604,441.0,9.102423,4.0,4.0,open,0.62,impression
46.19641,6.1480523,1449367945582,451.0,0.0,3.9,3.9,open,0.62,impression
46.1966613,6.1476007,1449367959603,448.0,6.755805,3.9,3.9,accepted,0.62,impression
46.1966755,6.1473971,1449367962583,447.0,3.681956,3.0,3.0,accepted,0.62,tap
46.1966755,6.1473971,1449367962583,447.0,3.681956,3.0,3.0,accepted,0.62,impression
46.1966692,6.1473455,1449367964584,447.0,1.9209372,3.0,3.0,accepted,0.63,lifecycle
46.1966692,6.1473455,1449367964584,447.0,1.9209372,3.0,3.0,accepted,0.63,impression
46.1957766,6.147722,1449368063591,453.0,7.1100283,4.0,4.0,accepted,0.63,tap
46.1957766,6.147722,1449368063591,453.0,7.1100283,4.0,4.0,accepted,0.63,lifecycle
46.1957766,6.147722,1449368063591,453.0,7.1100283,4.0,4.0,accepted,0.63,impression
46.1955565,6.1479925,1449368066585,452.0,10.990073,3.0,3.0,accepted,0.63,impression
46.1953182,6.1482917,1449368069579,452.0,11.355395,4.0,4.0,accepted,0.63,tap
46.1953182,6.1482917,1449368069579,452.0,11.355395,4.0,4.0,accepted,0.63,impression
46.1947385,6.1490655,1449368086624,451.0,0.0,3.0,3.0,arrived,0.65,lifecycle
46.1947385,6.1490655,1449368086624,451.0,0.0,3.0,3.0,arrived,0.65,impression
46.1851214,6.1421925,1449368280582,430.0,0.0,3.0,3.0,arrived,0.65,tap
46.1851214,6.1421925,1449368280582,430.0,0.0,3.0,3.0,arrived,0.65,lifecycle
46.1851244,6.1421928,1449368282594,430.0,0.0,3.0,3.0,arrived,0.65,impression
46.1851298,6.1421891,1449368373609,430.0,0.0,9.0,9.0,arrived,0.66,tap
46.1851298,6.1421891,1449368373609,430.0,0.0,9.0,9.0,arrived,0.66,impression
46.1851299,6.1421892,1449368376605,430.0,0.0,9.0,9.0,arrived,0.66,tap
46.1851299,6.1421892,1449368376605,430.0,0.0,9.0,9.0,arrived,0.66,impression
46.1851299,6.1421892,1449368379599,430.0,0.0,9.0,9.0,arrived,0.66,tap
46.1851299,6.1421892,1449368379599,430.0,0.0,9.0,9.0,arrived,0.66,impression
46.1851301,6.1421893,1449368384586,430.0,0.0,9.0,9.0,arrived,0.68,lifecycle
46.1851301,6.1421893,1449368384586,430.0,0.0,9.0,9.0,arrived,0.68,impression
46.1851296,6.1421916,1449368538627,431.0,0.0,9.0,9.0,arrived,0.68,tap
46.1851296,6.1421916,1449368538627,431.0,0.0,9.0,9.0,arrived,0.68,lifecycle
46.1851296,6.1421916,1449368538627,431.0,0.0,9.0,9.0,arrived,0.68,impression
46.1851293,6.1421908,1449368600620,431.0,0.0,9.0,9.0,on_trip,0.68,tap
46.1851292,6.1421908,1449368603586,431.0,0.0,9.0,9.0,on_trip,0.68,impression
46.1851292,6.1421908,1449368603586,431.0,0.0,9.0,9.0,on_trip,0.73,impression
46.1851292,6.1421909,1449368605602,431.0,0.0,9.0,9.0,on_trip,0.73,tap
46.1851292,6.1421909,1449368605602,431.0,0.0,9.0,9.0,on_trip,0.73,impression
46.1851292,6.1421909,1449368605602,431.0,0.0,9.0,9.0,on_trip,0.73,lifecycle
46.213304,6.1454497,1449369163596,444.0,5.190087,10.0,10.0,on_trip,0.73,tap
46.213304,6.1454497,1449369163596,444.0,5.190087,10.0,10.0,on_trip,0.73,lifecycle
46.213304,6.1454497,1449369163596,444.0,5.190087,10.0,10.0,on_trip,0.73,impression
46.2133896,6.145536,1449369166585,445.0,3.2459977,10.0,10.0,on_trip,0.73,impression
46.2134629,6.1455941,1449369169576,445.0,3.2718496,10.0,10.0,open,0.73,tap
46.2134629,6.1455941,1449369169576,445.0,3.2718496,10.0,10.0,open,0.73,impression
46.2135006,6.1456145,1449369171580,446.0,2.6913567,12.0,12.0,open,0.73,impression
46.2135006,6.1456145,1449369171580,446.0,2.6913567,12.0,12.0,open,0.73,tap
46.2135049,6.1455832,1449369174577,445.0,0.68883955,11.0,11.0,open,0.73,impression
46.2135049,6.1455832,1449369174577,445.0,0.68883955,11.0,11.0,open,0.73,tap
46.2128788,6.1477167,1449369234603,434.0,0.0,3.0,3.0,open,0.74,impression
46.2123082,6.1495083,1449369295593,430.0,7.341744,4.0,4.0,open,0.75,impression
46.2094694,6.1478347,1449369355602,428.0,0.0,7.0,7.0,open,0.75,impression
46.2080809,6.1449602,1449369414628,428.0,8.151987,5.0,5.0,open,0.76,impression
46.2082372,6.1441042,1449369428605,431.0,0.0,4.0,4.0,dispatching,0.76,impression
46.2082372,6.1441042,1449369428605,431.0,0.0,4.0,4.0,accepted,0.76,impression
