lat,lng,occurred_at,speed,horizontal_accuracy,vertical_accuracy,driver_status,rider_status,battery_level,type
46.2004601,6.1430798,1446327631761,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004603,6.1430798,1446327636767,0.0,11.0,11.0,\N,looking,0.86,impression
46.2004603,6.1430798,1446327637014,0.0,11.0,11.0,\N,looking,0.86,impression
46.2004603,6.1430798,1446327637447,0.0,11.0,11.0,\N,looking,0.86,impression
46.2004604,6.1430798,1446327642584,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004604,6.1430798,1446327642598,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004604,6.1430799,1446327644983,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004604,6.1430799,1446327645547,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004604,6.1430799,1446327646064,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004604,6.1430799,1446327646618,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004604,6.14308,1446327647392,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004604,6.14308,1446327647409,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004604,6.14308,1446327648110,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004604,6.14308,1446327648125,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004604,6.14308,1446327648253,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004604,6.14308,1446327648266,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004603,6.14308,1446327648923,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004603,6.14308,1446327649489,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004603,6.14308,1446327649689,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004603,6.14308,1446327650301,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004603,6.14308,1446327650319,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004602,6.14308,1446327650981,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004602,6.14308,1446327651529,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004602,6.14308,1446327652319,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004602,6.14308,1446327652339,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004602,6.1430799,1446327652929,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004602,6.1430799,1446327653479,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004602,6.1430799,1446327654062,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004601,6.1430798,1446327654999,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004601,6.1430798,1446327656552,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004601,6.1430798,1446327656578,0.0,9.0,9.0,\N,looking,0.86,impression
46.20046,6.1430797,1446327657426,0.0,9.0,9.0,\N,looking,0.86,tap
46.20046,6.1430797,1446327657446,0.0,9.0,9.0,\N,looking,0.86,impression
46.20046,6.1430797,1446327657854,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004599,6.1430795,1446327658917,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004599,6.1430795,1446327659485,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004598,6.1430794,1446327663194,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004598,6.1430794,1446327663213,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004598,6.1430794,1446327663256,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004598,6.1430794,1446327663270,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004598,6.1430795,1446327666727,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004598,6.1430795,1446327666747,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004598,6.1430795,1446327666840,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004598,6.1430795,1446327666858,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004598,6.1430795,1446327668109,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004598,6.1430794,1446327668696,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004598,6.1430794,1446327670535,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430795,1446327671097,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430795,1446327672716,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430795,1446327672812,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430795,1446327673491,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430795,1446327674072,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430795,1446327674378,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430795,1446327674939,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430795,1446327675738,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430795,1446327676282,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430796,1446327677894,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430796,1446327677912,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430795,1446327678833,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430795,1446327679378,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430796,1446327680877,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430796,1446327680901,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430796,1446327682583,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430796,1446327682608,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327684949,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430795,1446327685489,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327685978,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430795,1446327686528,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327686615,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327687487,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430795,1446327688042,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327688888,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327689554,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430795,1446327689968,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430796,1446327692045,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430796,1446327692065,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430796,1446327693766,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430796,1446327693792,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430796,1446327694445,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430796,1446327694501,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430796,1446327695105,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430796,1446327695124,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430796,1446327696338,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004597,6.1430796,1446327696359,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430796,1446327696768,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430796,1446327696825,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430797,1446327701120,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430797,1446327701708,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430797,1446327702184,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430797,1446327702903,0.0,9.0,9.0,\N,looking,0.86,tap
46.2004596,6.1430797,1446327703475,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004596,6.1430797,1446327704375,0.0,9.0,9.0,\N,looking,0.86,impression
46.2004597,6.1430798,1446327705446,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004599,6.1430799,1446327708807,0.0,10.0,10.0,\N,looking,0.86,lifecycle
46.2004599,6.1430799,1446327710820,0.0,10.0,10.0,\N,looking,0.86,lifecycle
46.2004599,6.1430799,1446327710952,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004599,6.1430799,1446327711179,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004598,6.1430799,1446327714191,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004598,6.1430799,1446327714213,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004598,6.1430799,1446327724084,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004598,6.1430799,1446327724115,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004598,6.1430799,1446327724281,0.0,10.0,10.0,\N,looking,0.86,tap
46.2004598,6.14308,1446327725230,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004598,6.14308,1446327725271,0.0,10.0,10.0,\N,looking,0.86,impression
46.2004598,6.14308,1446327727128,0.0,9.0,9.0,\N,looking,0.86,impression
46.1878498,6.1279931,1446342344956,0.24207437,17.0,17.0,\N,looking,0.65,tap
46.1878498,6.1279931,1446342347392,0.24207437,17.0,17.0,\N,looking,0.65,impression
46.1878498,6.1279931,1446342348791,0.24207437,17.0,17.0,\N,looking,0.65,impression
46.1878498,6.1279931,1446342348869,0.24207437,17.0,17.0,\N,looking,0.65,impression
46.187888,6.1280708,1446342349325,0.11,13.0,13.0,\N,looking,0.65,impression
46.187888,6.1280708,1446342349610,0.11,13.0,13.0,\N,looking,0.65,impression
46.1877286,6.1276721,1446342355221,0.04,29.0,29.0,\N,looking,0.65,impression
46.1877286,6.1276721,1446342355293,0.04,29.0,29.0,\N,looking,0.65,impression
46.1879301,6.1279601,1446342361798,0.01,30.0,30.0,\N,looking,0.65,tap
46.1879301,6.1279601,1446342361815,0.01,30.0,30.0,\N,looking,0.65,impression
46.1879301,6.1279601,1446342362235,0.01,30.0,30.0,\N,looking,0.65,tap
46.1879301,6.1279601,1446342362265,0.01,30.0,30.0,\N,looking,0.65,impression
46.1879404,6.12812,1446342365552,0.05,22.0,22.0,\N,looking,0.65,tap
46.1879404,6.12812,1446342365582,0.05,22.0,22.0,\N,looking,0.65,impression
46.1879404,6.12812,1446342369911,0.05,22.0,22.0,\N,looking,0.65,tap
46.1879404,6.12812,1446342371316,0.05,22.0,22.0,\N,looking,0.65,tap
46.1879404,6.12812,1446342371331,0.05,22.0,22.0,\N,looking,0.65,impression
46.1881031,6.1281218,1446342375363,0.0,25.0,25.0,\N,looking,0.65,tap
46.1881031,6.1281218,1446342375908,0.0,25.0,25.0,\N,looking,0.65,impression
46.1881031,6.1281218,1446342376260,0.0,25.0,25.0,\N,looking,0.65,tap
46.1880797,6.1281569,1446342376808,0.11,20.0,20.0,\N,looking,0.65,impression
46.1880797,6.1281569,1446342377423,0.11,20.0,20.0,\N,looking,0.65,tap
46.1880797,6.1281569,1446342378211,0.11,20.0,20.0,\N,looking,0.65,tap
46.1880797,6.1281569,1446342378820,0.11,20.0,20.0,\N,looking,0.65,impression
46.1878243,6.1281537,1446342384630,0.21023796,9.0,9.0,\N,looking,0.65,tap
46.1878243,6.1281537,1446342385189,0.21023796,9.0,9.0,\N,looking,0.65,impression
46.1878243,6.1281537,1446342386558,0.21023796,9.0,9.0,\N,looking,0.65,tap
46.1878243,6.1281537,1446342387122,0.21023796,9.0,9.0,\N,looking,0.65,impression
46.1878243,6.1281537,1446342388277,0.21023796,9.0,9.0,\N,looking,0.65,tap
46.1878243,6.1281537,1446342388819,0.21023796,9.0,9.0,\N,looking,0.65,impression
46.1878243,6.1281537,1446342389329,0.21023796,9.0,9.0,\N,looking,0.65,tap
46.1878243,6.1281537,1446342389810,0.21023796,9.0,9.0,\N,looking,0.65,tap
46.1878243,6.1281537,1446342390356,0.21023796,9.0,9.0,\N,looking,0.65,impression
46.1879978,6.1281396,1446342390786,0.22022715,13.0,13.0,\N,looking,0.65,tap
46.1879978,6.1281396,1446342391329,0.22022715,13.0,13.0,\N,looking,0.65,impression
46.1879978,6.1281396,1446342392099,0.22022715,13.0,13.0,\N,looking,0.65,tap
46.1879978,6.1281396,1446342392644,0.22022715,13.0,13.0,\N,looking,0.65,impression
46.1879978,6.1281396,1446342392977,0.22022715,13.0,13.0,\N,looking,0.65,tap
46.1879978,6.1281396,1446342394195,0.22022715,13.0,13.0,\N,looking,0.65,impression
46.1879978,6.1281396,1446342394400,0.22022715,13.0,13.0,\N,looking,0.65,tap
46.1879978,6.1281396,1446342394954,0.22022715,13.0,13.0,\N,looking,0.65,impression
46.1879978,6.1281396,1446342395265,0.22022715,13.0,13.0,\N,looking,0.65,tap
46.1879336,6.1281505,1446342395808,0.44721362000000003,19.0,19.0,\N,looking,0.65,impression
46.1879336,6.1281505,1446342396721,0.44721362000000003,19.0,19.0,\N,looking,0.65,tap
46.1879336,6.1281505,1446342396799,0.44721362000000003,19.0,19.0,\N,looking,0.65,tap
46.1879336,6.1281505,1446342396815,0.44721362000000003,19.0,19.0,\N,looking,0.65,impression
46.1879336,6.1281505,1446342397262,0.44721362000000003,19.0,19.0,\N,looking,0.65,impression
46.1879336,6.1281505,1446342398136,0.44721362000000003,19.0,19.0,\N,looking,0.65,tap
46.1879336,6.1281505,1446342398687,0.44721362000000003,19.0,19.0,\N,looking,0.65,impression
46.1879336,6.1281505,1446342399591,0.44721362000000003,19.0,19.0,\N,looking,0.65,tap
46.1879336,6.1281505,1446342400142,0.44721362000000003,19.0,19.0,\N,looking,0.65,impression
46.1880202,6.1280758,1446342402347,0.05,4.0,4.0,\N,looking,0.65,tap
46.1880202,6.1280758,1446342402896,0.05,4.0,4.0,\N,looking,0.65,impression
46.1880202,6.1280758,1446342403927,0.05,4.0,4.0,\N,looking,0.65,tap
46.1880202,6.1280758,1446342403942,0.05,4.0,4.0,\N,looking,0.65,impression
46.1880202,6.1280758,1446342404426,0.05,4.0,4.0,\N,looking,0.65,tap
46.1880202,6.1280758,1446342404971,0.05,4.0,4.0,\N,looking,0.65,impression
46.1880534,6.1280685,1446342405665,0.09,19.0,19.0,\N,looking,0.65,tap
46.1880534,6.1280685,1446342407475,0.09,19.0,19.0,\N,looking,0.65,impression
46.1880534,6.1280685,1446342407489,0.09,19.0,19.0,\N,looking,0.65,tap
46.1880534,6.1280685,1446342409260,0.09,19.0,19.0,\N,looking,0.65,impression
46.1880534,6.1280685,1446342409296,0.09,19.0,19.0,\N,looking,0.65,impression
46.1880534,6.1280685,1446342409557,0.09,19.0,19.0,\N,looking,0.65,impression
46.1879881,6.1279218,1446342425371,0.02,15.0,15.0,\N,looking,0.64,impression
46.1878727,6.1280789,1446342428029,0.14,12.0,12.0,\N,looking,0.64,tap
