request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-02 12:50:00,2015-12-02 13:02:20,46.1775204,6.1345884,2015-12-02 13:18:21,46.2305433,6.1089349,completed,CHF,uberX,44.95,9.76,16.0166666667,1.0
2015-12-02 14:38:43,2015-12-02 14:48:38,46.2272911,6.0578946,2015-12-02 14:59:35,46.2308746,6.1101909,completed,CHF,uberX,22.58,4.01,10.9666666667,1.0
2015-12-02 7:10:55,2015-12-02 7:19:39,46.1882306,6.1411316,2015-12-02 7:36:08,46.2025818,6.1610415,completed,CHF,uberX,16.72,1.73,16.4833333333,1.0
2015-12-02 7:45:03,2015-12-02 7:53:46,46.1953528,6.163913,2015-12-02 8:02:16,46.2013447,6.1729247,completed,CHF,uberX,10.9,0.99,8.5,1.0
2015-12-02 8:08:53,2015-12-02 8:18:04,46.1950466,6.1627788,2015-12-02 8:39:29,46.2223546,6.1486846,completed,CHF,uberX,21.86,2.62,21.4166666667,1.0
2015-12-02 8:50:16,2015-12-02 8:53:10,46.2099448,6.1428371,2015-12-02 9:04:56,46.2330576,6.1363498,completed,CHF,uberX,17.59,2.51,11.7666666667,1.0
2015-12-02 9:21:40,2015-12-02 9:28:56,46.220524,6.1138268,2015-12-02 9:43:17,46.217235,6.0826807,completed,CHF,uberX,17.75,2.26,14.35,1.0
2015-12-03 20:12:53,2015-12-03 20:22:24,46.1945618,6.1219336,2015-12-03 20:33:11,46.1960912,6.1459506,completed,CHF,uberX,14.75,1.82,10.8,1.0
2015-12-03 21:57:47,2015-12-03 22:02:48,46.1913985,6.166805,2015-12-03 22:09:37,46.2037947,6.1735192,completed,CHF,uberX,15.62,1.25,6.81666666667,1.4
2015-12-03 22:13:27,,46.1963522,6.166188,,46.1962119,6.1660311,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-03 22:16:40,2015-12-03 22:20:49,46.1904847,6.154067,2015-12-03 22:27:52,46.2033803,6.1782342,completed,CHF,uberX,14.09,2.05,7.06666666667,1.0
2015-12-03 22:36:28,2015-12-03 22:40:39,46.1974402,6.1430023,2015-12-03 22:45:52,46.2028672,6.1582004,completed,CHF,uberX,9.85,1.06,5.2,1.0
2015-12-03 22:51:47,2015-12-03 22:54:27,46.1941587,6.1454156,2015-12-03 23:10:12,46.2226864,6.1247313,completed,CHF,uberX,20.57,2.9,15.7666666667,1.0
