uid,"daddr","time","uncertain","Tracker","Category","Package","App"
0,"aax.amazon-adsystem.com","1683547956797","0","Amazon.com","Advertising","",""
0,"accounts.google.com","1683196064269","0","Google","Content","",""
0,"acdn.adnxs-simple.com","1683532375461","2","acdn.adnxs-simple.com","Uncategorised","",""
0,"acdn.adnxs.com","1683532127225","0","AT&T","Advertising","",""
0,"ad.360yield.com","1683547956825","0","Improve Digital","Advertising","",""
0,"ad.doubleclick.net","1683532375545","1","Google","FingerprintingGeneral","",""
0,"ade.googlesyndication.com","1683532375587","1","Google","FingerprintingGeneral","",""
0,"adservice.google.com","1683196064274","0","Google","FingerprintingGeneral","",""
0,"amplify-imp.outbrain.com","1683548123468","2","Outbrain","Advertising","",""
0,"ams3-ib.adnxs.com","1683532160522","0","AT&T","Advertising","",""
0,"analytics.tiktok.com","1683547943519","0","ByteDance","Uncategorised","",""
0,"antenna.ayads.co","1683547956823","0","Sublime Skinz","Advertising","",""
0,"api.onesignal.com","1683532127230","0","OneSignal","Uncategorised","",""
0,"api16-core-alisg.tiktokv.com","1683201632382","1","ByteDance","Uncategorised","",""
0,"api16-core-c-useast2a.tiktokv.com","1683650407252","1","ByteDance","Uncategorised","",""
0,"api16-core-useast1a.tiktokv.com","1683194094130","1","ByteDance","Uncategorised","",""
0,"api16-core-useast2a.tiktokv.com","1683218518353","1","ByteDance","Uncategorised","",""
0,"api16-core.tiktokv.com","1683530214809","1","ByteDance","Uncategorised","",""
0,"api16-normal-alisg.tiktokv.com","1683194094124","1","ByteDance","Uncategorised","",""
0,"api16-normal-c-useast2a.tiktokv.com","1683648081662","1","ByteDance","Uncategorised","",""
0,"api31-core-useast2a.tiktokv.com","1683650390326","1","ByteDance","Uncategorised","",""
0,"apis.google.com","1683194251906","0","Google","Content","",""
0,"assets.adobedtm.com","1683532309785","0","Adobe","Uncategorised","",""
0,"b1t-chidc2.zemanta.com","1683548005842","2","Zemanta","Advertising","",""
0,"bat.bing.com","1683196064300","0","Microsoft","Content","",""
0,"bsync-i18n.tiktokv.com","1683533468116","1","ByteDance","Uncategorised","",""
0,"buy.tinypass.com","1683532139670","2","buy.tinypass.com","Uncategorised","",""
0,"c.amazon-adsystem.com","1683547956791","0","Amazon.com","Advertising","",""
0,"cdn-gl.imrworldwide.com","1683201524426","0","Nielsen","Advertising","",""
0,"cdn.amplitude.com","1683547956804","0","Amplitude","Analytics","",""
0,"cdn.fonts.net","1683196064279","1","Monotype Imaging","Uncategorised","",""
0,"cdn.optimizely.com","1683193138999","0","Optimizely","Analytics","",""
0,"clientservices.googleapis.com","1683647844873","1","Google","Content","",""
0,"cm.g.doubleclick.net","1683532375581","1","Google","FingerprintingGeneral","",""
0,"connect.facebook.net","1683196064285","0","Facebook","Social","",""
0,"content-autofill.googleapis.com","1683532346073","1","Google","Content","",""
0,"crashlyticsreports-pa.googleapis.com","1683540662782","1","Google","Content","",""
0,"csi.gstatic.com","1683192703481","0","Google","Content","",""
0,"ct.pinterest.com","1683547943538","0","Pinterest","Content","",""
0,"d185t3f4gfz2x8.cloudfront.net","1683532375511","0","Amazon.com","Content","",""
0,"d186rixkn5ruba.cloudfront.net","1683192337141","0","Amazon.com","Content","",""
0,"d1ni990a184w7d.cloudfront.net","1683196064310","0","Amazon.com","Content","",""
0,"d22tagl2zbogba.cloudfront.net","1683547943523","2","Amazon.com","Content","",""
0,"d2pc1cne7c473l.cloudfront.net","1683647831716","1","Amazon.com","Content","",""
0,"d2v02itv0y9u9t.cloudfront.net","1683201421307","0","Amazon.com","Content","",""
0,"d2w9e9nn3654sb.cloudfront.net","1683652848031","0","Amazon.com","Content","",""
0,"dgeft87wbj63p.cloudfront.net","1683201524430","0","Amazon.com","Content","",""
0,"drws.batch.com","1683547996396","1","Batch","Uncategorised","",""
0,"experience.tinypass.com","1683532136610","0","experience.tinypass.com","Uncategorised","",""
0,"firebase-settings.crashlytics.com","1683532127218","0","Google","Analytics","",""
0,"firebaseinappmessaging.googleapis.com","1683532202029","1","Google","Content","",""
0,"firebaselogging-pa.googleapis.com","1683530214813","0","Google","Content","",""
0,"fonts.gstatic.com","1683192703477","0","Google","Content","",""
0,"frontier-i18n.tiktokv.com","1683648081596","0","ByteDance","Uncategorised","",""
0,"gldetvrtso8b1wn1smgyo6kixtpyg1683201425.nuid.imrworldwide.com","1683201524438","0","Nielsen","Advertising","",""
0,"googleads.g.doubleclick.net","1683532375524","1","Google","FingerprintingGeneral","",""
0,"graph.facebook.com","1683647831265","0","Facebook","Social","",""
0,"hotapi16-normal-useast2a.tiktokv.com","1683212394147","1","ByteDance","Uncategorised","",""
0,"ib.adnxs.com","1683547956712","0","AT&T","Advertising","",""
0,"images.outbrainimg.com","1683548005858","0","images.outbrainimg.com","Uncategorised","",""
0,"in.appcenter.ms","1683647841551","0","Microsoft","Uncategorised","",""
0,"lf16-effectcdn-sg.tiktokcdn.com","1683533454426","2","ByteDance","Uncategorised","",""
0,"lh3.googleusercontent.com","1683192703521","1","Google","Content","",""
0,"libra-va.tiktokv.com","1683530248853","0","ByteDance","Uncategorised","",""
0,"libra16-normal-useast2a.tiktokv.com","1683525997971","1","ByteDance","Uncategorised","",""
0,"log.outbrainimg.com","1683532234116","0","log.outbrainimg.com","Uncategorised","",""
0,"log19-normal-useast2a.tiktokv.com","1683648081669","1","ByteDance","Uncategorised","",""
0,"log22-normal-useast2a.tiktokv.com","1683648081665","1","ByteDance","Uncategorised","",""
0,"mcdp-chidc2.outbrain.com","1683532249261","0","Outbrain","Advertising","",""
0,"mediation.adnxs.com","1683532199663","0","AT&T","Advertising","",""
0,"mon-i18n.tiktokv.com","1683530214818","0","ByteDance","Uncategorised","",""
0,"mon-va.byteoversea.com","1683553891871","1","ByteDance","Uncategorised","",""
0,"mon-va.tiktokv.com","1683650858194","2","ByteDance","Uncategorised","",""
0,"mssdk16-normal-useast2a.tiktokv.com","1683530202501","0","ByteDance","Uncategorised","",""
0,"mv.outbrain.com","1683548005853","1","Outbrain","Advertising","",""
0,"o244476.ingest.sentry.io","1683192505861","0","Functional Software Inc","Uncategorised","",""
0,"optchk.ayads.co","1683547956736","0","Sublime Skinz","Advertising","",""
0,"p16-sign-va.tiktokcdn.com","1683649044831","2","ByteDance","Uncategorised","",""
0,"p77-sign-va-lite.tiktokcdn.com","1683218576329","0","ByteDance","Uncategorised","",""
0,"pagead2.googleadservices.com","1683192866473","1","Google","FingerprintingGeneral","",""
0,"pagead2.googlesyndication.com","1683192563496","1","Google","FingerprintingGeneral","",""
0,"pbs.twimg.com","1683201610329","0","Twitter","Social","",""
0,"pixel.adsafeprotected.com","1683532375572","0","Integral Ad Science","FingerprintingInvasive","",""
0,"platform.twitter.com","1683532375536","0","Twitter","Social","",""
0,"pubads.g.doubleclick.net","1683192703513","0","Google","FingerprintingGeneral","",""
0,"publish.twitter.com","1683532325546","0","Twitter","Social","",""
0,"pull-cmaf-f16-sg01.tiktokcdn.com","1683530265866","1","ByteDance","Uncategorised","",""
0,"pull-cmaf-f16-va01.tiktokcdn.com","1683533416100","1","ByteDance","Uncategorised","",""
0,"pull-cmaf-l16-sg01.tiktokcdn.com","1683193629808","2","ByteDance","Uncategorised","",""
0,"px.ads.linkedin.com","1683547943542","1","Microsoft","Social","",""
0,"s.amazon-adsystem.com","1683201434187","0","Amazon.com","Advertising","",""
0,"s.pinimg.com","1683196064288","0","Pinterest","Content","",""
0,"sac.ayads.co","1683547956833","0","Sublime Skinz","Advertising","",""
0,"script.hotjar.com","1683196064252","0","Hotjar","Analytics","",""
0,"search16-normal-c-useast1a.tiktokv.com","1683199408613","1","ByteDance","Uncategorised","",""
0,"sentry.io","1683192467739","0","Functional Software Inc","Uncategorised","",""
0,"sf16-sg.tiktokcdn.com","1683553787975","1","ByteDance","Uncategorised","",""
0,"sf16m-geckocdn.tiktokcdn.com","1683650429796","0","ByteDance","Uncategorised","",""
0,"smetrics.css.ch","1683532302979","0","smetrics.css.ch","Uncategorised","",""
0,"snap.licdn.com","1683196064312","0","Microsoft","Social","",""
0,"srv.pixel.parsely.com","1683532192892","0","Parse.ly","Analytics","",""
0,"static.adsafeprotected.com","1683547943540","2","Integral Ad Science","FingerprintingInvasive","",""
0,"static.hotjar.com","1683196064290","0","Hotjar","Analytics","",""
0,"stats.g.doubleclick.net","1683196545615","0","Google","FingerprintingGeneral","",""
0,"syndication.twitter.com","1683532375556","0","Twitter","Social","",""
0,"tnc16-platform-useast2a.tiktokv.com","1683557934484","1","ByteDance","Uncategorised","",""
0,"tpc.googlesyndication.com","1683192563395","0","Google","FingerprintingGeneral","",""
0,"tpsc-eu3.doubleverify.com","1683533390769","1","DoubleVerify","FingerprintingGeneral","",""
0,"v16-cla.tiktokcdn.com","1683194094096","1","ByteDance","Uncategorised","",""
0,"v77.tiktokcdn.com","1683533362874","0","ByteDance","Uncategorised","",""
0,"vast.doubleverify.com","1683533343768","0","DoubleVerify","FingerprintingGeneral","",""
0,"vc.hotjar.io","1683196064304","0","vc.hotjar.io","Uncategorised","",""
0,"vcs-i18n.tiktokv.com","1683526019806","0","ByteDance","Uncategorised","",""
0,"vtrk.doubleverify.com","1683533434236","0","DoubleVerify","FingerprintingGeneral","",""
0,"webcast19-normal-c-useast2a.tiktokv.com","1683192815774","1","ByteDance","Uncategorised","",""
0,"webcast22-ws-useast2a.tiktokv.com","1683648081660","0","ByteDance","Uncategorised","",""
0,"widget-pixels.outbrain.com","1683548005848","1","Outbrain","Advertising","",""
0,"ws.batch.com","1683547999537","0","Batch","Uncategorised","",""
0,"www.facebook.com","1683196064319","0","Facebook","Social","",""
0,"www.google-analytics.com","1683532313013","0","Google","FingerprintingGeneral","",""
0,"www.google.ch","1683196068372","0","Google","Content","",""
0,"www.google.com","1683196069395","0","Google","Content","",""
0,"www.googletagmanager.com","1683532375518","0","Google","Uncategorised","",""
0,"www8.smartadserver.com","1683547956747","0","SmartAdServer","Advertising","",""
0,"zug.sbb.ch","1683548119922","0","zug.sbb.ch","Uncategorised","",""
0,"0SKN4N-dnsotls-ds.metric.gstatic.com","1683532375542","1","Google","Content","",""
0,"7FZK1S-dnsotls-ds.metric.gstatic.com","1683532375567","1","Google","Content","",""
0,"7b41266cd1aa0aed8d4a13db463a7f8f.safeframe.googlesyndication.com","1683547962011","0","Google","FingerprintingGeneral","",""
0,"adx.g.doubleclick.net","1683532375553","1","Google","FingerprintingGeneral","",""
0,"bat.bing.com","1683547943533","0","Microsoft","Content","",""
0,"cdn.doubleverify.com","1683533388819","0","DoubleVerify","FingerprintingGeneral","",""
0,"cdn.fonts.net","1683547943513","1","Monotype Imaging","Uncategorised","",""
0,"clientservices.googleapis.com","1683547943508","1","Google","Content","",""
0,"connect.facebook.net","1683547943531","0","Facebook","Social","",""
0,"content-autofill.googleapis.com","1683547956766","1","Google","Content","",""
0,"csi.gstatic.com","1683532375551","0","Google","Content","",""
0,"d162djwrcclosm.cloudfront.net","1683532375539","0","Amazon.com","Content","",""
0,"d1ni990a184w7d.cloudfront.net","1683547943544","0","Amazon.com","Content","",""
0,"googleads.g.doubleclick.net","1683548005844","1","Google","FingerprintingGeneral","",""
0,"lh3.googleusercontent.com","1683532375526","0","Google","Content","",""
0,"media.admob.com","1683532375514","0","Google","FingerprintingGeneral","",""
0,"px.ads.linkedin.com","1683547943535","0","Microsoft","Social","",""
0,"s.pinimg.com","1683547943529","0","Pinterest","Content","",""
0,"s0.2mdn.net","1683532375578","0","Google","FingerprintingGeneral","",""
0,"snap.licdn.com","1683547925042","0","Microsoft","Social","",""
0,"static.adsafeprotected.com","1683532375575","0","Integral Ad Science","FingerprintingInvasive","",""
0,"tpc.googlesyndication.com","1683532375532","0","Google","FingerprintingGeneral","",""
0,"www.facebook.com","1683547943521","0","Facebook","Social","",""
1021,"d2pc1cne7c473l.cloudfront.net","1683538402509","0","Amazon.com","Content","",""
1021,"d2w9e9nn3654sb.cloudfront.net","1683652847954","0","Amazon.com","Content","",""
10238,"accounts.google.com","1683196054580","0","Google","Content","com.android.chrome","Chrome"
10238,"ad.doubleclick.net","1683196059147","0","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"adservice.google.com","1683196060500","0","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"analytics.tiktok.com","1683547913017","0","ByteDance","Uncategorised","com.android.chrome","Chrome"
10238,"bat.bing.com","1683196058872","0","Microsoft","Content","com.android.chrome","Chrome"
10238,"cdn-gl.imrworldwide.com","1683201425731","0","Nielsen","Advertising","com.android.chrome","Chrome"
10238,"cdn.fonts.net","1683196057544","1","Monotype Imaging","Uncategorised","com.android.chrome","Chrome"
10238,"clientservices.googleapis.com","1683547907430","1","Google","Content","com.android.chrome","Chrome"
10238,"connect.facebook.net","1683196058832","0","Facebook","Social","com.android.chrome","Chrome"
10238,"content-autofill.googleapis.com","1683201435070","1","Google","Content","com.android.chrome","Chrome"
10238,"ct.pinterest.com","1683547912472","0","Pinterest","Content","com.android.chrome","Chrome"
10238,"d186rixkn5ruba.cloudfront.net","1683201423372","0","Amazon.com","Content","com.android.chrome","Chrome"
10238,"d1ni990a184w7d.cloudfront.net","1683196059038","0","Amazon.com","Content","com.android.chrome","Chrome"
10238,"d22tagl2zbogba.cloudfront.net","1683547904982","2","Amazon.com","Content","com.android.chrome","Chrome"
10238,"d2v02itv0y9u9t.cloudfront.net","1683201421379","0","Amazon.com","Content","com.android.chrome","Chrome"
10238,"dgeft87wbj63p.cloudfront.net","1683201426439","0","Amazon.com","Content","com.android.chrome","Chrome"
10238,"firebaseinappmessaging.googleapis.com","1683196051552","1","Google","Content","com.android.chrome","Chrome"
10238,"fonts.gstatic.com","1683196103573","1","Google","Content","com.android.chrome","Chrome"
10238,"gldetvrtso8b1wn1smgyo6kixtpyg1683201425.nuid.imrworldwide.com","1683201428323","0","Nielsen","Advertising","com.android.chrome","Chrome"
10238,"pbs.twimg.com","1683201490102","0","Twitter","Social","com.android.chrome","Chrome"
10238,"px.ads.linkedin.com","1683547912504","1","Microsoft","Social","com.android.chrome","Chrome"
10238,"s.amazon-adsystem.com","1683201433679","0","Amazon.com","Advertising","com.android.chrome","Chrome"
10238,"s.pinimg.com","1683196058783","0","Pinterest","Content","com.android.chrome","Chrome"
10238,"script.hotjar.com","1683196058344","0","Hotjar","Analytics","com.android.chrome","Chrome"
10238,"secure-dcr.imrworldwide.com","1683201486726","0","Nielsen","Advertising","com.android.chrome","Chrome"
10238,"snap.licdn.com","1683196058097","0","Microsoft","Social","com.android.chrome","Chrome"
10238,"static.adsafeprotected.com","1683547905641","2","Integral Ad Science","FingerprintingInvasive","com.android.chrome","Chrome"
10238,"static.hotjar.com","1683196057533","0","Hotjar","Analytics","com.android.chrome","Chrome"
10238,"stats.g.doubleclick.net","1683196541292","0","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"vc.hotjar.io","1683196059371","0","vc.hotjar.io","Uncategorised","com.android.chrome","Chrome"
10238,"www.facebook.com","1683196060455","0","Facebook","Social","com.android.chrome","Chrome"
10238,"www.google-analytics.com","1683196058099","0","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"www.google.ch","1683196144192","0","Google","Content","com.android.chrome","Chrome"
10238,"www.google.com","1683196145094","0","Google","Content","com.android.chrome","Chrome"
10238,"www.googletagmanager.com","1683196057400","0","Google","Uncategorised","com.android.chrome","Chrome"
10238,"accounts.google.com","1683547902001","0","Google","Content","com.android.chrome","Chrome"
10238,"ad.doubleclick.net","1683547904960","1","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"ade.googlesyndication.com","1683547905287","1","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"clientservices.googleapis.com","1683201422187","1","Google","Content","com.android.chrome","Chrome"
10238,"connect.facebook.net","1683547904970","0","Facebook","Social","com.android.chrome","Chrome"
10238,"content-autofill.googleapis.com","1683547927483","1","Google","Content","com.android.chrome","Chrome"
10238,"firebaseinappmessaging.googleapis.com","1683196051504","1","Google","Content","com.android.chrome","Chrome"
10238,"fonts.gstatic.com","1683547904282","1","Google","Content","com.android.chrome","Chrome"
10238,"s.pinimg.com","1683196058641","0","Pinterest","Content","com.android.chrome","Chrome"
10238,"stats.g.doubleclick.net","1683547904214","0","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"www.facebook.com","1683547906171","0","Facebook","Social","com.android.chrome","Chrome"
10238,"www.google-analytics.com","1683547903367","0","Google","FingerprintingGeneral","com.android.chrome","Chrome"
10238,"www.google.ch","1683196265684","0","Google","Content","com.android.chrome","Chrome"
10238,"www.google.com","1683547904647","0","Google","Content","com.android.chrome","Chrome"
10238,"www.googletagmanager.com","1683547902550","0","Google","Uncategorised","com.android.chrome","Chrome"
10238,"bat.bing.com","1683547912123","0","Microsoft","Content","com.android.chrome","Chrome"
10238,"cdn.fonts.net","1683547911658","1","Monotype Imaging","Uncategorised","com.android.chrome","Chrome"
10238,"clientservices.googleapis.com","1683547902554","1","Google","Content","com.android.chrome","Chrome"
10238,"connect.facebook.net","1683547904991","0","Facebook","Social","com.android.chrome","Chrome"
10238,"d1ni990a184w7d.cloudfront.net","1683547904990","0","Amazon.com","Content","com.android.chrome","Chrome"
10238,"px.ads.linkedin.com","1683547912128","0","Microsoft","Social","com.android.chrome","Chrome"
10238,"s.pinimg.com","1683547911715","0","Pinterest","Content","com.android.chrome","Chrome"
10238,"snap.licdn.com","1683547903913","0","Microsoft","Social","com.android.chrome","Chrome"
10238,"www.facebook.com","1683547906192","0","Facebook","Social","com.android.chrome","Chrome"
10240,"content-autofill.googleapis.com","1683545348363","1","Google","Content","com.google.android.youtube","YouTube"
10240,"i.ytimg.com","1683545348384","0","Google","Uncategorised","com.google.android.youtube","YouTube"
10240,"content-autofill.googleapis.com","1683545347873","1","Google","Content","com.google.android.youtube","YouTube"
10240,"i.ytimg.com","1683545347930","0","Google","Uncategorised","com.google.android.youtube","YouTube"
10264,"firebaseinappmessaging.googleapis.com","1683193681588","1","Google","Content","org.thoughtcrime.securesms","Signal"
10315,"analytics.tiktok.com","1683559719339","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core-alisg.tiktokv.com","1683219192907","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core-c-useast2a.tiktokv.com","1683530339875","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core-c-useast2a.tiktokv.com","1683652770246","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core-useast1a.tiktokv.com","1683194079823","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core-useast2a.tiktokv.com","1683526016663","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core.tiktokv.com","1683530202559","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-core.tiktokv.com","1683648938986","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-normal-alisg.tiktokv.com","1683194079847","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-normal-c-useast2a.tiktokv.com","1683648927609","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api16-normal-useast2a.tiktokv.com","1683194019216","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api22-core.tiktokv.com","1683530339870","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api31-core-useast2a.tiktokv.com","1683652775459","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"bsync-i18n.tiktokv.com","1683553948277","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"content-autofill.googleapis.com","1683650859088","1","Google","Content","com.zhiliaoapp.musically","TikTok"
10315,"firebaseinappmessaging.googleapis.com","1683200899575","1","Google","Content","com.zhiliaoapp.musically","TikTok"
10315,"firebaselogging-pa.googleapis.com","1683530204081","0","Google","Content","com.zhiliaoapp.musically","TikTok"
10315,"frontier-i18n.tiktokv.com","1683652774663","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"hotapi16-normal-useast2a.tiktokv.com","1683647531214","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"hotapi19-normal-useast2a.tiktokv.com","1683562058770","2","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"launches.appsflyer.com","1683553769144","0","AppsFlyer","Advertising","com.zhiliaoapp.musically","TikTok"
10315,"lf16-effectcdn-sg.tiktokcdn.com","1683533433960","2","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"lf16-pitayacdn.tiktokcdn.com","1683553779685","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"lf77-gecko-source.tiktokcdn.com","1683533447631","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
