"daddr","time","Tracker Name","Tracker Category"
"appdata.richie.fi","1625895744339","",""
"cdn.gravito.net","1625895614101","",""
"cdn.krxd.net","1625895845733","Krux","FingerprintingGeneral"
"cmp-events.almamedia.tech","1625895613476","",""
"d1wlq29ei7938d.cloudfront.net","1625895830392","Amazon.com","Content"
"d22x160tylnfjq.cloudfront.net","1625895744106","Amazon.com","Content"
"d29usjoxiqvdpc.cloudfront.net","1625895632638","Amazon.com","Content"
"d2j4xe2cbdiwa3.cloudfront.net","1625895830529","Amazon.com","Content"
"d2mqczrhbrs0gr.cloudfront.net","1625895830495","Amazon.com","Content"
"d2otc2m5ul9uex.cloudfront.net","1625895847859","Amazon.com","Content"
"d2ue8wbbh5ekl9.cloudfront.net","1625895830427","Amazon.com","Content"
"d3bkyy6rh45q8q.cloudfront.net","1625895831103","Amazon.com","Content"
"d3cdjjarcvj45p.cloudfront.net","1625895840222","Amazon.com","Content"
"data.richie.app","1625895792792","",""
"dnh8w7l7595h4.cloudfront.net","1625895685378","Amazon.com","Content"
"dr4fik3qjug8q.cloudfront.net","1625895608336","Amazon.com","Content"
"firebase-settings.crashlytics.com","1625895837337","Google","Analytics"
"firebaseinstallations.googleapis.com","1625895830365","Google","Content"
"firebaseremoteconfig.googleapis.com","1625895610155","Google","Content"
"mediation.adnxs.com","1625895857661","AT&T","Advertising"
"meta.almamedia.io","1625895853889","",""
"notifications.il.fi","1625895610315","",""
"www.google-analytics.com","1625895847015","Google","FingerprintingGeneral"
"020c0d61fbf479582f3978d6591124f8.safeframe.googlesyndication.com","1626039379622","Google","FingerprintingGeneral"
"031c65b448f24f13ef57a0b36248d50d.safeframe.googlesyndication.com","1626037774624","Google","FingerprintingGeneral"
"1842e48d40e3ebd9def3444c0b2b8cbd.safeframe.googlesyndication.com","1625968632859","Google","FingerprintingGeneral"
"192.168.210.1","1625990103523","",""
"20min.ch","1625968616583","",""
"20min.ch","1625968928420","",""
"2e35d38d7cd6e5d6f982de2beca07449.safeframe.googlesyndication.com","1626029985058","Google","FingerprintingGeneral"
"2img.net","1626015734647","",""
"48cb4e0fa3403a5b5ac2c0d68d90041a.safeframe.googlesyndication.com","1626008306281","Google","FingerprintingGeneral"
"51b786d30200b75276ae4ec7e460bc99.safeframe.googlesyndication.com","1626011690515","Google","FingerprintingGeneral"
"56tjpw.austria.info","1625984815398","",""
"7cde19c7d43b71ca5b5624bee4dccdca.safeframe.googlesyndication.com","1626038191144","Google","FingerprintingGeneral"
"8643885.fls.doubleclick.net","1626039033685","Google","FingerprintingGeneral"
"8fa7961d103b2738f3f85695148fc8f8.safeframe.googlesyndication.com","1625937395950","Google","FingerprintingGeneral"
"9592152.fls.doubleclick.net","1626037775483","Google","FingerprintingGeneral"
"a.config.skype.com","1625984705483","Microsoft","Content"
"a.teads.tv","1626030048254","Teads.tv","Advertising"
"a1793.dscg1.akamai.net","1625968251178","Akamai","Content"
"a1805.g1.akamai.net","1625968246450","Akamai","Content"
"a1830.g1.akamai.net","1625968246461","Akamai","Content"
"a1879.dscw14.akamai.net","1625984816550","Akamai","Content"
"a1880.g1.akamai.net","1625972645800","Akamai","Content"
"a1988.dscg1.akamai.net","1625968245958","Akamai","Content"
"a1992.g1.akamai.net","1625972645483","Akamai","Content"
"a3.shared.global.fastly.net","1625937411923","Fastly","Content"
"a3.shared.global.fastly.net","1626010113089","Fastly","Content"
"a5a7c7361d44e5699787d6073afbd458.safeframe.googlesyndication.com","1626011691136","Google","FingerprintingGeneral"
